experiment,model_type,hidden_dim,num_layers,num_heads,k_neighbors,best_val_auc,test_auc,test_f1,test_recall,elapsed_sec
baseline_mlp,mlp,64,2,4,8,1.0000,0.9984,0.8811,0.9692,3.6
gcn_2layer,gcn,64,2,4,8,0.9955,0.9847,0.7453,0.9231,1.8
gat_2layer,gat,64,2,4,8,0.9901,0.9815,0.6524,0.9385,4.0
gcn_1layer,gcn,64,1,4,8,0.9915,0.9806,0.6091,0.9231,1.1
gcn_3layer,gcn,64,3,4,8,0.9947,0.9781,0.6243,0.9077,2.3
gcn_4layer,gcn,64,4,4,8,0.9934,0.9756,0.6378,0.9077,1.8
gcn_hidden32,gcn,32,2,4,8,0.9932,0.9799,0.6860,0.9077,1.0
gcn_hidden128,gcn,128,2,4,8,0.9945,0.9825,0.6593,0.9231,1.1
gcn_k4,gcn,64,2,4,4,0.9951,0.9833,0.6897,0.9231,1.7
gcn_k16,gcn,64,2,4,16,0.9907,0.9763,0.6957,0.8615,1.1
gat_1head,gat,64,2,1,8,0.9557,0.9524,0.3822,0.9231,1.6
gat_8head,gat,64,2,8,8,0.9892,0.9841,0.5905,0.9538,5.6
